 ,Label,Area,Circ.,AR,Round,Solidity
1,sample1_thresholded.tif,202.378,0.846,1.569,0.637,0.936
2,sample1_thresholded.tif,196.040,0.883,1.288,0.776,0.936
3,sample1_thresholded.tif,176.605,0.824,1.652,0.605,0.934
4,sample1_thresholded.tif,161.818,0.855,1.313,0.761,0.927
5,sample1_thresholded.tif,265.753,0.800,1.845,0.542,0.933
6,sample1_thresholded.tif,174.915,0.891,1.186,0.843,0.936
7,sample1_thresholded.tif,151.678,0.804,1.720,0.581,0.925
8,sample1_thresholded.tif,238.713,0.827,1.631,0.613,0.939
9,sample1_thresholded.tif,156.325,0.858,1.494,0.669,0.933
10,sample1_thresholded.tif,199.843,0.818,1.120,0.893,0.911
11,sample1_thresholded.tif,79.853,0.525,1.785,0.560,0.831
12,sample1_thresholded.tif,164.775,0.885,1.124,0.890,0.944
13,sample1_thresholded.tif,127.595,0.783,1.341,0.746,0.911
14,sample1_thresholded.tif,220.123,0.817,1.624,0.616,0.936
15,sample1_thresholded.tif,177.028,0.804,1.241,0.806,0.914
16,sample1_thresholded.tif,201.955,0.738,1.680,0.595,0.920
17,sample1_thresholded.tif,373.913,0.810,1.851,0.540,0.945
18,sample1_thresholded.tif,214.630,0.901,1.306,0.766,0.954
19,sample1_thresholded.tif,186.745,0.848,1.431,0.699,0.935
20,sample1_thresholded.tif,227.305,0.811,1.270,0.787,0.928
21,sample1_thresholded.tif,212.095,0.858,1.230,0.813,0.930
22,sample1_thresholded.tif,166.465,0.805,1.701,0.588,0.924
23,sample1_thresholded.tif,186.323,0.882,1.349,0.741,0.946
24,sample1_thresholded.tif,234.910,0.795,1.578,0.634,0.928
25,sample1_thresholded.tif,198.153,0.855,1.146,0.872,0.922
26,sample1_thresholded.tif,202.800,0.739,1.894,0.528,0.921
27,sample1_thresholded.tif,164.775,0.919,1.178,0.849,0.944
28,sample1_thresholded.tif,190.970,0.875,1.131,0.884,0.935
29,sample1_thresholded.tif,215.475,0.912,1.205,0.830,0.950
30,sample1_thresholded.tif,222.235,0.859,1.303,0.767,0.943
31,sample1_thresholded.tif,196.040,0.793,1.564,0.639,0.925
32,sample1_thresholded.tif,231.108,0.792,1.763,0.567,0.925
