 ,Label,Area,Circ.,AR,Round,Solidity
1,image5.tif,192.660,0.834,1.279,0.782,0.925
2,image5.tif,214.630,0.753,1.526,0.655,0.920
3,image5.tif,326.593,0.870,1.373,0.728,0.948
4,image5.tif,190.970,0.843,1.471,0.680,0.928
5,image5.tif,215.475,0.846,1.498,0.667,0.943
6,image5.tif,400.531,0.692,1.981,0.505,0.896
7,image5.tif,176.183,0.897,1.188,0.842,0.943
8,image5.tif,368.843,0.876,1.148,0.871,0.951
9,image5.tif,212.095,0.863,1.381,0.724,0.946
10,image5.tif,199.420,0.827,1.447,0.691,0.937
11,image5.tif,200.688,0.923,1.147,0.872,0.951
12,image5.tif,182.520,0.705,2.014,0.496,0.914
13,image5.tif,195.618,0.746,2.056,0.486,0.920
14,image5.tif,169.000,0.913,1.127,0.887,0.949
15,image5.tif,173.225,0.890,1.103,0.907,0.926
16,image5.tif,184.210,0.716,1.552,0.644,0.895
17,image5.tif,217.588,0.830,1.253,0.798,0.939
18,image5.tif,182.520,0.866,1.261,0.793,0.933
19,image5.tif,195.618,0.907,1.141,0.876,0.943
20,image5.tif,165.620,0.889,1.294,0.773,0.939
21,image5.tif,142.383,0.782,1.689,0.592,0.908
22,image5.tif,179.140,0.893,1.436,0.696,0.943
23,image5.tif,199.843,0.787,1.597,0.626,0.918
24,image5.tif,202.378,0.846,1.389,0.720,0.933
25,image5.tif,201.533,0.820,1.525,0.656,0.931
26,image5.tif,185.900,0.870,1.415,0.707,0.943
27,image5.tif,210.405,0.851,1.687,0.593,0.949
28,image5.tif,207.448,0.793,1.772,0.564,0.917
29,image5.tif,199.420,0.813,1.428,0.700,0.924
30,image5.tif,201.955,0.822,1.408,0.710,0.920
31,image5.tif,177.028,0.882,1.111,0.900,0.928
32,image5.tif,178.295,0.914,1.181,0.847,0.946
33,image5.tif,220.123,0.772,1.718,0.582,0.935
34,image5.tif,196.040,0.853,1.243,0.805,0.932
35,image5.tif,199.843,0.766,1.712,0.584,0.926
36,image5.tif,485.876,0.788,1.525,0.656,0.919
37,image5.tif,185.055,0.889,1.097,0.912,0.939
38,image5.tif,204.490,0.740,1.564,0.639,0.941
39,image5.tif,208.715,0.946,1.124,0.890,0.960
40,image5.tif,194.350,0.858,1.384,0.723,0.942
41,image5.tif,177.450,0.781,1.719,0.582,0.922
42,image5.tif,215.898,0.823,1.351,0.740,0.937
43,image5.tif,176.183,0.824,1.540,0.649,0.915
44,image5.tif,199.843,0.744,1.781,0.561,0.917
45,image5.tif,251.811,0.825,1.722,0.581,0.946
46,image5.tif,218.433,0.822,1.546,0.647,0.937
47,image5.tif,229.418,0.847,1.276,0.784,0.932
48,image5.tif,184.633,0.882,1.373,0.728,0.945
49,image5.tif,173.225,0.743,1.613,0.620,0.929
50,image5.tif,413.206,0.667,2.028,0.493,0.881
51,image5.tif,196.463,0.911,1.103,0.907,0.940
52,image5.tif,200.688,0.844,1.486,0.673,0.932
53,image5.tif,425.036,0.719,1.626,0.615,0.895
54,image5.tif,201.955,0.857,1.314,0.761,0.925
55,image5.tif,203.645,0.802,1.402,0.713,0.931
56,image5.tif,30.843,0.765,1.265,0.790,0.854
57,image5.tif,197.730,0.936,1.113,0.898,0.954
58,image5.tif,201.110,0.803,1.245,0.803,0.924
59,image5.tif,434.331,0.808,1.535,0.651,0.945
60,image5.tif,227.305,0.839,1.522,0.657,0.938
61,image5.tif,172.803,0.754,1.235,0.809,0.905
62,image5.tif,213.785,0.804,1.637,0.611,0.930
63,image5.tif,171.535,0.832,1.323,0.756,0.921
64,image5.tif,400.531,0.799,1.405,0.712,0.940
65,image5.tif,199.420,0.863,1.345,0.744,0.933
66,image5.tif,317.721,0.774,1.488,0.672,0.934
67,image5.tif,213.363,0.856,1.455,0.687,0.947
68,image5.tif,209.560,0.780,1.380,0.725,0.924
69,image5.tif,365.041,0.742,1.411,0.709,0.894
70,image5.tif,195.195,0.756,1.282,0.780,0.906
71,image5.tif,183.788,0.800,1.546,0.647,0.922
72,image5.tif,193.928,0.874,1.347,0.743,0.940
73,image5.tif,195.195,0.857,1.482,0.675,0.932
74,image5.tif,189.280,0.792,1.421,0.704,0.927
75,image5.tif,176.183,0.764,1.869,0.535,0.921
76,image5.tif,185.900,0.670,1.930,0.518,0.909
77,image5.tif,237.868,0.676,2.217,0.451,0.905
78,image5.tif,201.533,0.877,1.363,0.734,0.946
79,image5.tif,268.288,0.886,1.187,0.843,0.946
80,image5.tif,298.708,0.893,1.227,0.815,0.948
81,image5.tif,189.280,0.896,1.246,0.803,0.945
82,image5.tif,222.658,0.860,1.612,0.620,0.945
83,image5.tif,152.945,0.881,1.287,0.777,0.935
84,image5.tif,212.095,0.794,1.381,0.724,0.924
85,image5.tif,412.361,0.810,1.512,0.661,0.944
86,image5.tif,276.316,0.897,1.157,0.864,0.943
87,image5.tif,336.311,0.707,1.479,0.676,0.896
88,image5.tif,379.406,0.870,1.406,0.711,0.948
89,image5.tif,198.575,0.842,1.572,0.636,0.933
90,image5.tif,376.448,0.734,1.487,0.672,0.914
91,image5.tif,193.505,0.826,1.742,0.574,0.930
92,image5.tif,97.598,0.815,1.493,0.670,0.911
